Thema 1,Thema 2,Thema 3,Thema 4,Thema 5
januar,zugehen,beratung,freitag,beratung
donnerstag,gesundes,ausschuss,petra,donnerstag
beratung,verlaub,freitag,sport,ausschuss
opfer,grundsatzprogramm,vizepräsidentin,schutz,beschlussempfehlung
vizepräsidentin,lebensweg,beschlussempfehlung,vizepräsidentin,gesetzentwurf
aydan,weigert,rainer,moncsek,vizepräsidentin
ausschuss,enger,parl,wachstum,gesetzes
kollegin,ausschließen,gesetzes,yvonne,januar
parl,angemessene,kuban,wiener,freitag
petra,schimke,yvonne,gesetzentwurf,entwurfs
